date,M1,M2
2016-01-01,412685.64,1416319.55
2016-02-01,392504.7,1424618.68
2016-03-01,411581.31,1446198.03
2016-04-01,413504.84,1445209.59
2016-05-01,424250.7,1461695.11
2016-06-01,443643.7,1490491.83
2016-07-01,442934.43,1491558.72
2016-08-01,454543.6,1510982.91
2016-09-01,454340.25,1516360.5
2016-10-01,465446.65,1519485.4
2016-11-01,475405.54,1530432.06
2016-12-01,486557.24,1550066.67
2017-01-01,472526.45,1584194.56
2017-02-01,476527.6,1589857.0
2017-03-01,488770.09,1607938.98
2017-04-01,490180.42,1603918.84
2017-05-01,496389.78,1609740.77
2017-06-01,510228.17,1639497.05
2017-07-01,510484.58,1636341.11
2017-08-01,518113.93,1652947.3
2017-09-01,517863.04,1663666.05
2017-10-01,525977.19,1662449.96
2017-11-01,535565.05,1679156.64
2017-12-01,543790.15,1690235.31
2018-01-01,543247.13,1720814.46
2018-02-01,517035.99,1729070.12
2018-03-01,523540.07,1739859.48
2018-04-01,525447.77,1737683.73
2018-05-01,526276.72,1743063.79
2018-06-01,543944.71,1770178.37
2018-07-01,536624.29,1776196.11
2018-08-01,538324.64,1788670.43
2018-09-01,538574.08,1801665.58
2018-10-01,540128.37,1795561.6
2018-11-01,543498.66,1813175.07
2018-12-01,551685.91,1826744.22
2019-01-01,545638.46,1865935.33
2019-02-01,527190.48,1867427.45
2019-03-01,547575.54,1889412.14
2019-04-01,540614.6,1884670.33
2019-05-01,544355.64,1891153.7
2019-06-01,567696.18,1921360.19
2019-07-01,553043.11,1919410.82
2019-08-01,556798.09,1935492.43
2019-09-01,557137.95,1952250.49
2019-10-01,558143.92,1945600.55
2019-11-01,562486.52,1961429.56
2019-12-01,576009.15,1986488.82
2020-01-01,545531.79,2023066.49
2020-02-01,552700.73,2030830.42
2020-03-01,575050.29,2080923.41
2020-04-01,570150.48,2093533.83
2020-05-01,581111.06,2100183.74
2020-06-01,604317.97,2134948.66
2020-07-01,591192.64,2125458.46
2020-08-01,601289.1,2136836.91
2020-09-01,602312.12,2164084.8
2020-10-01,609182.41,2149720.42
2020-11-01,618632.17,2172002.55
2020-12-01,625580.99,2186795.89
2021-01-01,625563.81,2213047.33
2021-02-01,593487.46,2236030.26
2021-03-01,616113.17,2276488.45
2021-04-01,605421.89,2262107.12
2021-05-01,616828.32,2275538.07
2021-06-01,637479.36,2317788.36
2021-07-01,620367.05,2302153.82
2021-08-01,626658.69,2312267.68
2021-09-01,624645.68,2342829.7
2021-10-01,626082.12,2336160.48
2021-11-01,637482.04,2356012.76
2021-12-01,647443.35,2382899.56
2022-01-01,613859.35,2431022.72
2022-02-01,621612.11,2441488.9
2022-03-01,645063.8,2497688.34
2022-04-01,636139.01,2499710.9
2022-05-01,645107.52,2527026.15
2022-06-01,674374.81,2581451.2
2022-07-01,661832.33,2578078.57
2022-08-01,664604.85,2595068.27
2022-09-01,664535.17,2626600.92
2022-10-01,662140.99,2612914.57
2022-11-01,667042.61,2647008.48
2022-12-01,671674.76,2664320.84
2023-01-01,655214.16,2738072.06
2023-02-01,657938.74,2755249.23
2023-03-01,678059.63,2814566.31
2023-04-01,669761.55,2808469.34
2023-05-01,675252.98,2820504.68
2023-06-01,695595.48,2873023.83
2023-07-01,677218.92,2854031.56
2023-08-01,679588.35,2869343.25
2023-09-01,678443.65,2896659.11
2023-10-01,674696.07,2882276.07
2023-11-01,675903.41,2912014.22
2023-12-01,680542.52,2922713.33
2024-01-01,694197.88,2976250.2
2024-02-01,665916.09,2995572.97
2024-03-01,685808.9,3047952.16
2024-04-01,660100.0,3011900.0
2024-05-01,646842.47,3018506.73
2024-06-01,660610.52,3050161.54
2024-07-01,632296.54,3033060.78
2024-08-01,630200.0,3050500.0
2024-09-01,628236.54,3094798.24
2024-10-01,633357.47,3097092.01
2024-11-01,650904.16,3119587.27
2024-12-01,1113069.0,3135322.3
2025-01-01,1124457.45,3185247.18
2025-02-01,1094370.01,3205173.24
2025-03-01,1134863.1,3260554.57
2025-04-01,1091407.33,3251739.32
2025-05-01,1089100.0,3257800.0
2025-06-01,1139494.08,3302868.17
2025-07-01,1110600.0,3299400.0
2025-08-01,1112255.7,3319831.44
2025-09-01,1131455.07,3353771.03
2025-10-01,1119962.73,3351312.31
2025-11-01,1128866.64,3369890.52
